,Borehole,X,Y,Z_Top,Z_Bot,Formation,hydrogeoCode
1,NT-MW20-8,487379.258,5147487.331,298.7,298.68,Organics,1
2,NT-MW20-8,487379.258,5147487.331,298.68,297.86,Sand/Silt/Till1,3
3,NT-MW20-8,487379.258,5147487.331,297.86,291.44,Bedrock,7
4,NT-MW21-10,487396.729,5147463.826,297.29,287.51,Bedrock,7
5,NT-MW22-9,487367.603,5147577.135,297.68,297.58,Organics,1
6,NT-MW22-9,487367.603,5147577.135,297.58,297.48,Sand/Silt/Till1,3
7,NT-MW22-9,487367.603,5147577.135,297.48,295.68,Clay,4
8,NT-MW22-9,487367.603,5147577.135,295.68,284.14,Bedrock,7
9,NT-MW23-10,487390.523,5147661.184,297.13,295.61,Clay,4
10,NT-MW23-10,487390.523,5147661.184,295.61,294.77,Sand/Silt/Till2,5
11,NT-MW23-10,487390.523,5147661.184,294.77,287.35,Bedrock,7
12,NT-MW23-3,487391.089,5147658.747,297.13,295.13,Clay,4
13,NT-MW-24-9,487608.337,5147759.903,297.25,296.85,Organics,1
14,NT-MW-24-9,487608.337,5147759.903,296.85,288.58,Bedrock,7
15,NT-MW25-10,487765.922,5147894.381,294.35,293.59,Sand/Silt/Till1,3
16,NT-MW25-10,487765.922,5147894.381,293.59,292.83,Clay,4
17,NT-MW25-10,487765.922,5147894.381,292.83,292.22,Cobbles,6
18,NT-MW25-10,487765.922,5147894.381,292.22,284.52,Bedrock,7
19,NT-MW26-15,488177.439,5148285.734,289.14,287.62,Clay,4
20,NT-MW26-15,488177.439,5148285.734,287.62,282.34,Sand/Silt/Till2,5
21,NT-MW26-15,488177.439,5148285.734,282.34,279.14,Cobbles,6
22,NT-MW26-15,488177.439,5148285.734,279.14,275.34,Bedrock,7
23,NT-MW26-8,488179.84,5148285.744,289.23,287.71,Clay,4
24,NT-MW26-8,488179.84,5148285.744,287.71,282.43,Sand/Silt/Till2,5
25,NT-MW26-8,488179.84,5148285.744,282.43,280.04,Cobbles,6
26,NT-MW27-12,488148.115,5148281.634,288.77,287.25,Clay,4
27,NT-MW27-12,488148.115,5148281.634,287.25,283.07,Sand/Silt/Till2,5
28,NT-MW27-12,488148.115,5148281.634,283.07,277.9,Bedrock,7
29,NT-MW27-6,488148.187,5148281.607,288.77,283.29,Clay,4
30,NT-MW27-6,488148.187,5148281.607,283.29,277.9,Bedrock,7
31,NT-MW28-10,488872.02,5148599.114,304.5,303.74,Sand/Silt/Till1,3
32,NT-MW28-10,488872.02,5148599.114,303.74,303.13,Clay,4
33,NT-MW28-10,488872.02,5148599.114,303.13,302.57,Sand/Silt/Till2,5
34,NT-MW28-10,488872.02,5148599.114,302.57,294.8,Bedrock,7
35,NT-MW29-10,488661.235,5148391.267,298.26,297.85,Clay,4
36,NT-MW29-10,488661.235,5148391.267,297.85,288.96,Bedrock,7
37,NT-MW30-7,487302.524,5147438.199,297.42,296.61,Clay,4
38,NT-MW30-7,487302.524,5147438.199,296.61,291.1,Bedrock,7
39,NT-MW31-21,487346.672,5147543.586,298.21,296.84,Clay,4
40,NT-MW31-21,487346.672,5147543.586,296.84,296.56,Sand/Silt/Till2,5
41,NT-MW31-21,487346.672,5147543.586,296.56,278.45,Bedrock,7
42,NT-MW31-3,487345.88,5147543.336,298.18,296.81,Clay,4
43,NT-MW31-3,487345.88,5147543.336,296.81,296.53,Sand/Silt/Till2,5
44,NT-MW31-3,487345.88,5147543.336,296.53,278.38,Bedrock,7
45,NT-TW1,487376.583,5147501.536,299.64,299.34,ConcreteCrush,2
46,NT-TW1,487376.583,5147501.536,299.34,298.12,Sand/Silt/Till1,3
47,NT-TW1,487376.583,5147501.536,298.12,280.69,Bedrock,7
48,NT-TW2,487357.429,5147573.882,298.33,297.83,ConcreteCrush,2
49,NT-TW2,487357.429,5147573.882,297.83,292.46,Sand/Silt/Till1,3
50,NT-TW2,487357.429,5147573.882,292.46,276.12,Bedrock,7
51,NT-TW3,488152.922,5148269.793,289.29,288.99,Sand/Silt/Till1,3
52,NT-TW3,488152.922,5148269.793,288.99,279.29,Clay,4
53,NT-TW3,488152.922,5148269.793,279.29,264.28,Bedrock,7
54,NT-TW4,488870.286,5148617.201,304.36,304.16,Sand/Silt/Till1,3
55,NT-TW4,488870.286,5148617.201,304.16,288.45,Bedrock,7
56,NT-TW5,488674.623,5148390.452,298.31,296.94,Sand/Silt/Till1,3
57,NT-TW5,488674.623,5148390.452,296.94,281.06,Bedrock,7
58,NS14-01 BC/BR,487389,5147480,298.46,297.07,Sand/Silt/Till1,3
59,NS14-01 BC/BR,487389,5147480,297.07,237.46,Bedrock,7
60,NS14-02 BC/BR,487365,5147596,297.82,294.64,Sand/Silt/Till1,3
61,NS14-02 BC/BR,487365,5147596,294.64,236.82,Bedrock,7
62,NN-MW7-4,489030.55,5149000.63,302.73,301.82,ConcreteCrush,2
63,NN-MW7-4,489030.55,5149000.63,301.82,300.82,Sand/Silt/Till1,3
64,NN-MW7-4,489030.55,5149000.63,300.82,299,Cobbles,6
65,NN-MW7-8,489030.56,5149004.06,302.68,301.77,ConcreteCrush,2
66,NN-MW7-8,489030.56,5149004.06,301.77,300.77,Sand/Silt/Till1,3
67,NN-MW7-8,489030.56,5149004.06,300.77,299.22,Cobbles,6
68,NN-MW7-8,489030.56,5149004.06,299.22,294.53,Bedrock,7
69,NN-MW7-25,489030.43,5149002.14,302.72,301.81,ConcreteCrush,2
70,NN-MW7-25,489030.43,5149002.14,301.81,300.81,Cobbles,6
71,NN-MW7-25,489030.43,5149002.14,300.81,248.35,Bedrock,7
72,NN-MW8-2,489388.31,5149244.93,303.98,303.01,Organics,1
73,NN-MW8-2,489388.31,5149244.93,303.01,303,Bedrock,7
74,NN-MW8-24,489383.49,5149248.45,304.23,303.55,Sand/Silt/Till1,3
75,NN-MW8-24,489383.49,5149248.45,303.55,278.7,Bedrock,7
76,NN-MW8-36,489383.04,5149246.46,304.12,303.62,Sand/Silt/Till1,3
77,NN-MW8-36,489383.04,5149246.46,303.62,268.15,Bedrock,7
78,CN-MW20A-4,485409.14,5147100.31,302.7,301.36,Sand/Silt/Till1,3
79,CN-MW20A-4,485409.14,5147100.31,301.36,298.11,Bedrock,7
80,CN-MW22-6,485590.15,5147057.68,301,299.02,Sand/Silt/Till1,3
81,CN-MW22-6,485590.15,5147057.68,299.02,295.69,Bedrock,7
82,CN-MW23-6,485692.43,5146984.28,302.58,300.62,Sand/Silt/Till1,3
83,CN-MW23-6,485692.43,5146984.28,300.62,297.45,Bedrock,7
84,CN-MW24-5,485889.25,5146903.31,303.45,302.64,Sand/Silt/Till1,3
85,CN-MW24-5,485889.25,5146903.31,302.64,299.47,Bedrock,7
86,CN-MW26-4,485979.51,5146815.94,302.69,300.56,Sand/Silt/Till1,3
87,CN-MW26-4,485979.51,5146815.94,300.56,296.92,Bedrock,7
88,CN-MW27-6,485224.63,5146799.89,300.53,300.43,Organics,1
89,CN-MW27-6,485224.63,5146799.89,300.43,298.24,Sand/Silt/Till1,3
90,CN-MW27-6,485224.63,5146799.89,298.24,297.71,Cobbles,6
91,CN-MW27-6,485224.63,5146799.89,297.71,295.58,Bedrock,7
92,CN-MW28-6,485307.64,5146881.58,299.67,299.57,Organics,1
93,CN-MW28-6,485307.64,5146881.58,299.57,296.62,Sand/Silt/Till1,3
94,CN-MW28-6,485307.64,5146881.58,296.62,294.77,Bedrock,7
95,CN-MW29-4,485530.16,5146924.33,301.19,301.09,Organics,1
96,CN-MW29-4,485530.16,5146924.33,301.09,298.07,Sand/Silt/Till1,3
97,CN-MW29-4,485530.16,5146924.33,298.07,295.96,Bedrock,7
98,NT-BH01,488842,5148590,308,306.93,Sand/Silt/Till1,3
99,NT-BH01,488842,5148590,306.93,296.39,Bedrock,7
100,NT-BH02,488864,5148612,312,309.92,Sand/Silt/Till1,3
101,NT-BH02,488864,5148612,309.92,300.11,Bedrock,7
102,NT-BH03,488897,5148661,312,307.43,Sand/Silt/Till1,3
103,NT-BH03,488897,5148661,307.43,305.9,Clay,4
104,NT-BH03,488897,5148661,305.9,303.41,Sand/Silt/Till2,5
105,NT-BH03,488897,5148661,303.41,293.76,Bedrock,7
106,NT-BH04,488909,5148697,313,311.93,Sand/Silt/Till1,3
107,NT-BH04,488909,5148697,311.93,302.18,Bedrock,7
108,NT-BH05,488930,5148741,312,302.68,Bedrock,7
109,NT-BH07,488303,5148165,293,292.24,ConcreteCrush,2
110,NT-BH07,488303,5148165,292.24,291.48,Clay,4
111,NT-BH07,488303,5148165,291.48,289.95,Sand/Silt/Till1,3
112,NT-BH07,488303,5148165,289.95,289.49,Clay,4
113,NT-BH07,488303,5148165,289.49,284.9,Sand/Silt/Till2,5
114,NT-BH07,488303,5148165,284.9,278.75,Bedrock,7
115,NT-MW40,488836,5148598,311,308.71,Sand/Silt/Till1,3
116,NT-MW40,488836,5148598,308.71,298.93,Bedrock,7
117,NT-MW41,488873,5148691,304,303.24,ConcreteCrush,2
118,NT-MW41,488873,5148691,303.24,300.95,Clay,4
119,NT-MW41,488873,5148691,300.95,296.25,Sand/Silt/Till2,5
120,NT-MW41,488873,5148691,296.25,286.42,Bedrock,7
121,NT-MW42,488051.975,5148199.941,301,296.3,Bedrock,7
122,NT-MW43,487999.464,5148166.71,293,292.09,Clay,4
123,NT-MW43,487999.464,5148166.71,292.09,291.93,Sand/Silt/Till2,5
124,NT-MW43,487999.464,5148166.71,291.93,291.73,Cobbles,6
125,NT-MW43,487999.464,5148166.71,291.73,287.01,Bedrock,7
126,NT-MW1-2,487460.48,5147044.74,297.58,296.82,Sand/Silt/Till1,3
127,NT-MW1-2,487460.48,5147044.74,296.82,294.71,Clay,4
128,NT-MW1-2,487460.48,5147044.74,294.71,294.58,Sand/Silt/Till2,5
129,NT-MW1-32,487461.61,5147049.98,298.18,296.96,Organics,1
130,NT-MW1-32,487461.61,5147049.98,296.96,296.2,Sand/Silt/Till1,3
131,NT-MW1-32,487461.61,5147049.98,296.2,294.09,Clay,4
132,NT-MW1-32,487461.61,5147049.98,294.09,293.61,Sand/Silt/Till2,5
133,NT-MW1-32,487461.61,5147049.98,293.61,263.13,Bedrock,7
134,NT-MW1-43,489170.55,5148715.79,298,296.78,Organics,1
135,NT-MW1-43,489170.55,5148715.79,296.78,296.02,Sand/Silt/Till1,3
136,NT-MW1-43,489170.55,5148715.79,296.02,294.04,Clay,4
137,NT-MW1-43,489170.55,5148715.79,294.04,254.72,Bedrock,7
138,NT-MW2-3,487488.35,5147162.5,298.09,297.48,Clay,4
139,NT-MW2-3,487488.35,5147162.5,297.48,296.26,Cobbles,6
140,NT-MW2-3,487488.35,5147162.5,296.26,290.55,Bedrock,7
141,NT-MW2-17,487483.9,5147160.4,298.32,297.71,Organics,1
142,NT-MW2-17,487483.9,5147160.4,297.71,297.1,Clay,4
143,NT-MW2-17,487483.9,5147160.4,297.1,295.88,Cobbles,6
144,NT-MW2-17,487483.9,5147160.4,295.88,280.03,Bedrock,7
145,NT-MW2-47,487483.2,5147162.8,298.03,297.42,Organics,1
146,NT-MW2-47,487483.2,5147162.8,297.42,296.81,Clay,4
147,NT-MW2-47,487483.2,5147162.8,296.81,295.9,Cobbles,6
148,NT-MW2-47,487483.2,5147162.8,295.9,251.4,Bedrock,7
149,NT-MW3-5,487628.38,5147212.6,299.13,294.33,Cobbles,6
150,NT-MW3-5,487628.38,5147212.6,294.33,293.03,Bedrock,7
151,NT-MW3-9,487629.03,5147217.82,299.01,293.22,Cobbles,6
152,NT-MW3-9,487629.03,5147217.82,293.22,288.55,Bedrock,7
153,NT-MW3-18,487628.79,5147215.86,299.06,292.63,Cobbles,6
154,NT-MW3-18,487628.79,5147215.86,292.63,280.82,Bedrock,7
155,NT-MW4-5,487632.29,5147306.39,297.86,296.34,Sand/Silt/Till1,3
156,NT-MW4-5,487632.29,5147306.39,296.34,293.9,Clay,4
157,NT-MW4-9,487630.57,5147309.73,297.83,296.99,Sand/Silt/Till1,3
158,NT-MW4-9,487630.57,5147309.73,296.99,291.56,Clay,4
159,NT-MW4-9,487630.57,5147309.73,291.56,288.99,Sand/Silt/Till2,5
160,NT-MW4-24,487631.46,5147318.22,298.1,297.49,Organics,1
161,NT-MW4-24,487631.46,5147318.22,297.49,297.24,Sand/Silt/Till1,3
162,NT-MW4-24,487631.46,5147318.22,297.24,292,Clay,4
163,NT-MW4-24,487631.46,5147318.22,292,273.41,Bedrock,7
164,NT-MW4-44,487631.48,5147316.01,298.08,297.47,Organics,1
165,NT-MW4-44,487631.48,5147316.01,297.47,297.22,Sand/Silt/Till1,3
166,NT-MW4-44,487631.48,5147316.01,297.22,291.98,Clay,4
167,NT-MW4-44,487631.48,5147316.01,291.98,251.95,Bedrock,7
168,NT-MW5-2,487660.37,5147385.19,297.54,296.37,Sand/Silt/Till1,3
169,NT-MW5-24,487659.86,5147392.5,298.01,297.4,Organics,1
170,NT-MW5-24,487659.86,5147392.5,297.4,295.27,Sand/Silt/Till1,3
171,NT-MW5-24,487659.86,5147392.5,295.27,245.74,Bedrock,7
172,NT-MW5-37,487657.7,5147391.69,298.01,297.4,Organics,1
173,NT-MW5-37,487657.7,5147391.69,297.4,295.42,Sand/Silt/Till1,3
174,NT-MW5-37,487657.7,5147391.69,295.42,261.03,Bedrock,7
175,NT-MW6-2,487863.56,5147490.6,297.85,297.09,Organics,1
176,NT-MW6-2,487863.56,5147490.6,297.09,296.83,Sand/Silt/Till1,3
177,NT-MW6-2,487863.56,5147490.6,296.83,296.68,Bedrock,7
178,NT-MW6-26,487861.53,5147489.05,297.83,297.22,ConcreteCrush,2
179,NT-MW6-26,487861.53,5147489.05,297.22,296.46,Sand/Silt/Till1,3
180,NT-MW6-26,487861.53,5147489.05,296.46,244.57,Bedrock,7
181,NT-MW7-4,487926.77,5147735.92,295.87,294.65,Clay,4
182,NT-MW7-4,487926.77,5147735.92,294.65,294.45,Sand/Silt/Till2,5
183,NT-MW7-4,487926.77,5147735.92,294.45,292.92,Bedrock,7
184,NT-MW7-7,487928.27,5147732.76,295.95,295.04,Cobbles,6
185,NT-MW7-7,487928.27,5147732.76,295.04,294.43,Organics,1
186,NT-MW7-7,487928.27,5147732.76,294.43,289.85,Bedrock,7
187,NT-MW7-14,487930.34,5147733.9,296.04,295.13,Cobbles,6
188,NT-MW7-14,487930.34,5147733.9,295.13,294.82,Organics,1
189,NT-MW7-14,487930.34,5147733.9,294.82,282.43,Bedrock,7
190,NT-MW8-3,488093.09,5148220.45,292.26,291.19,Clay,4
191,NT-MW8-3,488093.09,5148220.45,291.19,290.02,Sand/Silt/Till2,5
192,NT-MW8-3,488093.09,5148220.45,290.02,289.02,Bedrock,7
193,NT-MW8-10,488086.64,5148218.96,292.33,291.26,Clay,4
194,NT-MW8-10,488086.64,5148218.96,291.26,290.48,Sand/Silt/Till2,5
195,NT-MW8-10,488086.64,5148218.96,290.48,282.91,Bedrock,7
196,NT-MW8-44,488095.74,5148221.09,292.4,291.33,Clay,4
197,NT-MW8-44,488095.74,5148221.09,291.33,290.95,Sand/Silt/Till2,5
198,NT-MW8-44,488095.74,5148221.09,290.95,247.19,Bedrock,7
199,NT-MW9-8,488205.17,5148247.77,289.17,284.07,Clay,4
200,NT-MW9-8,488205.17,5148247.77,284.07,281.25,Sand/Silt/Till2,5
201,NT-MW9-8,488205.17,5148247.77,281.25,280.25,Bedrock,7
202,NT-MW9-14,488207.33,5148248.41,289.26,284.16,Clay,4
203,NT-MW9-14,488207.33,5148248.41,284.16,281.14,Sand/Silt/Till2,5
204,NT-MW9-14,488207.33,5148248.41,281.14,275.92,Bedrock,7
205,NT-MW9-26,488209.71,5148246.97,289.33,284.23,Clay,4
206,NT-MW9-26,488209.71,5148246.97,284.23,281.41,Sand/Silt/Till2,5
207,NT-MW9-26,488209.71,5148246.97,281.41,262.51,Bedrock,7
208,NT-MW10-3,488385.21,5148386.8,295.12,292.07,Clay,4
209,NT-MW10-3,488385.21,5148386.8,292.07,291.67,Sand/Silt/Till2,5
210,NT-MW10-3,488385.21,5148386.8,291.67,290.67,Bedrock,7
211,NT-MW10-11,488385.21,5148386.8,295.2,292.15,Clay,4
212,NT-MW10-11,488386.67,5148387.31,292.15,291.75,Sand/Silt/Till2,5
213,NT-MW10-11,488386.67,5148387.31,291.75,276,Bedrock,7
214,NT-MW10-45,488388.73,5148388.06,295.22,292.17,Clay,4
215,NT-MW10-45,488388.73,5148388.06,292.17,291.77,Sand/Silt/Till2,5
216,NT-MW10-45,488388.73,5148388.06,291.77,291.51,Cobbles,6
217,NT-MW10-45,488388.73,5148388.06,291.51,250.26,Bedrock,7
218,NT-MW11-13,488690.79,5148541.05,298.46,297.24,ConcreteCrush,2
219,NT-MW11-13,488690.79,5148541.05,297.24,285.35,Bedrock,7
220,NT-MW11-23,488691.33,514545.72,298.65,297.98,Sand/Silt/Till2,5
221,NT-MW11-23,488691.33,514545.72,297.98,276.7,Bedrock,7
222,NT-MW11-43,488692.26,5148543.92,298.52,297.3,ConcreteCrush,2
223,NT-MW11-43,488692.26,5148543.92,297.3,252.8,Bedrock,7
224,NT-MW12-2,488914.06,5148643.28,304.59,303.83,ConcreteCrush,2
225,NT-MW12-2,488914.06,5148643.28,303.83,303.22,Sand/Silt/Till1,3
226,NT-MW12-2,488914.06,5148643.28,303.22,302.92,Cobbles,6
227,NT-MW12-10,488913.11,5148640.3,304.56,303.04,Sand/Silt/Till2,5
228,NT-MW12-10,488913.11,5148640.3,303.04,294.81,Bedrock,7
229,NT-MW12-46,488917.07,5148642.54,304.65,301.3,Sand/Silt/Till1,3
230,NT-MW12-46,488917.07,5148642.54,301.3,258.93,Bedrock,7
231,NT-MW13-4,489019.49,5148752.86,303.51,302.6,ConcreteCrush,2
232,NT-MW13-4,489019.49,5148752.86,302.6,300.88,Clay,4
233,NT-MW13-4,489019.49,5148752.86,300.88,300.31,Sand/Silt/Till2,5
234,NT-MW13-4,489019.49,5148752.86,300.31,299.31,Bedrock,7
235,NT-MW13-13,489022.3,5148756.11,303.53,302.92,ConcreteCrush,2
236,NT-MW13-13,489022.3,5148756.11,302.92,290.73,Bedrock,7
237,NT-MW13-22,489022.89,5148753.86,303.5,302.89,ConcreteCrush,2
238,NT-MW13-22,489022.89,5148753.86,302.89,300.05,Sand/Silt/Till1,3
239,NT-MW13-22,489022.89,5148753.86,300.05,249.25,Bedrock,7
240,NT-MW14-6,489166.7,5148716.3,307.33,305.81,ConcreteCrush,2
241,NT-MW14-6,489166.7,5148716.3,305.81,304.28,Clay,4
242,NT-MW14-6,489166.7,5148716.3,304.28,301.23,Sand/Silt/Till2,5
243,NT-MW14-6,489166.7,5148716.3,301.23,300.97,Bedrock,7
244,NT-MW14-15,489170.38,5148718.58,307.24,306.02,ConcreteCrush,2
245,NT-MW14-15,489170.38,5148718.58,306.02,298.71,Organics,1
246,NT-MW14-15,489170.38,5148718.58,298.71,291.96,Bedrock,7
247,NT-MW14-36,489170.55,5148715.79,307.36,306.14,ConcreteCrush,2
248,NT-MW14-36,489170.55,5148715.79,306.14,299.89,Organics,1
249,NT-MW14-36,489170.55,5148715.79,299.89,267.94,Bedrock,7
250,NT-MW15-5,489312.96,5148655.74,309.66,308.9,ConcreteCrush,2
251,NT-MW15-5,489312.96,5148655.74,308.9,307.38,Clay,4
252,NT-MW15-5,489312.96,5148655.74,307.38,306.77,Sand/Silt/Till2,5
253,NT-MW15-5,489312.96,5148655.74,306.77,306,Cobbles,6
254,NT-MW15-5,489312.96,5148655.74,306,305.55,Bedrock,7
255,NT-MW15-8,489315.92,5148654.62,309.55,308.79,ConcreteCrush,2
256,NT-MW15-8,489315.92,5148654.62,308.79,307.27,Clay,4
257,NT-MW15-8,489315.92,5148654.62,307.27,306.66,Sand/Silt/Till2,5
258,NT-MW15-8,489315.92,5148654.62,306.66,306.04,Cobbles,6
259,NT-MW15-8,489315.92,5148654.62,306.04,299.8,Bedrock,7
260,NT-MW15-41,489312.6,5148652.59,309.7,308.94,ConcreteCrush,2
261,NT-MW15-41,489312.6,5148652.59,308.94,307.42,Clay,4
262,NT-MW15-41,489312.6,5148652.59,307.42,306.81,Sand/Silt/Till2,5
263,NT-MW15-41,489312.6,5148652.59,306.81,306.04,Cobbles,6
264,NT-MW15-41,489312.6,5148652.59,306.04,267.64,Bedrock,7
265,NM-S-5,490304,5148625,308.6,307.69,ConcreteCrush,2
266,NM-S-5,490304,5148625,307.69,305.56,Sand/Silt/Till1,3
267,NM-S-5,490304,5148625,305.56,303.73,Bedrock,7
268,NM-S-70(A&B),490301,5148622,308.6,307.68,ConcreteCrush,2
269,NM-S-70(A&B),490301,5148622,307.68,305.55,Sand/Silt/Till1,3
270,NM-S-70(A&B),490301,5148622,305.55,238.19,Bedrock,7
271,BH-DAM1-01-19,488915.3,5148641,304.57,303.6,Sand/Silt/Till1,3
272,BH-DAM1-01-19,488915.3,5148641,303.6,293.49,Bedrock,7
273,BH-DAM1-02-19,488834.4,5148596.4,299.6,299.5,Organics,1
274,BH-DAM1-02-19,488834.4,5148596.4,299.5,296.93,Sand/Silt/Till1,3
275,BH-DAM1-02-19,488834.4,5148596.4,296.93,286.8,Bedrock,7
276,DH-DAM1-03-19,488675.5,5148497.6,297.4,296.74,Sand/Silt/Till1,3
277,DH-DAM1-03-19,488675.5,5148497.6,296.74,286.66,Bedrock,7
278,BH-DAM2-01-19,488673.2,5148381.6,298.44,298.16,ConcreteCrush,2
279,BH-DAM2-01-19,488673.2,5148381.6,298.16,287.95,Bedrock,7
280,BH-DAM2-02-19,488566,5148200.9,297.9,297.82,ConcreteCrush,2
281,BH-DAM2-02-19,488566,5148200.9,297.82,296.59,Sand/Silt/Till1,3
282,BH-DAM2-02-19,488566,5148200.9,296.59,286.57,Bedrock,7
283,BH-DAM3-01-19,488321.4,5148147,294.64,293.57,Sand/Silt/Till1,3
284,BH-DAM3-01-19,488321.4,5148147,293.57,283.34,Bedrock,7
285,BH-DAM3-02-19,488260.2,5148145.3,293.65,292.58,ConcreteCrush,2
286,BH-DAM3-02-19,488260.2,5148145.3,292.58,291.54,Sand/Silt/Till1,3
287,BH-DAM3-02-19,488260.2,5148145.3,291.54,275.87,Bedrock,7
288,BH-DAM3-03-19,488171.7,5148160.6,292.47,292.37,Organics,1
289,BH-DAM3-03-19,488171.7,5148160.6,292.37,291.5,Sand/Silt/Till1,3
290,BH-DAM3-03-19,488171.7,5148160.6,291.5,281.34,Bedrock,7
291,BH-DAM3-04-19,488103.4,5148115.6,292.15,292.05,Organics,1
292,BH-DAM3-04-19,488103.4,5148115.6,292.05,285.96,Sand/Silt/Till1,3
293,BH-DAM3-04-19,488103.4,5148115.6,285.96,275.87,Bedrock,7
294,BH-DAM3-05-19,488020.3,5148058,297.19,293.87,Sand/Silt/Till1,3
295,BH-DAM3-05-19,488020.3,5148058,293.87,283.69,Bedrock,7
296,BH-DAM8-01-19,487612.5,5147145.4,299.6,299.55,Organics,1
297,BH-DAM8-01-19,487612.5,5147145.4,299.55,297.26,Sand/Silt/Till1,3
298,BH-DAM8-01-19,487612.5,5147145.4,297.26,286.95,Bedrock,7
299,BH-DAM8-02-19,487654.3,5147230.2,298.65,288.59,Bedrock,7
300,CT32-1,488264,5144710,293.72,292.2,Sand/Silt/Till1,3
301,CT32-1,488264,5144710,292.2,290.52,Clay,4
302,CT32-1,488264,5144710,290.52,267.81,Bedrock,7
303,CT32-2,488238.657,5148184.27,290,289.87,Cobbles,6
304,CT32-2,488238.657,5148184.27,289.87,287.51,Clay,4
305,CT33-1A,488654,5148108,280.25,276.59,ConcreteCrush,2
306,CT33-1A,488654,5148108,276.59,254.34,Bedrock,7
307,CT33-2-1,488647,5148106,297.36,294.37,Sand/Silt/Till1,3
308,CT33-2-2,488556,5148056,295.99,291.72,Clay,4
309,CT34-1(A&B),487754,5147658,258.91,257.08,Sand/Silt/Till1,3
310,CT34-1(A&B),487754,5147658,257.08,220.51,Bedrock,7
311,CT34-2,487752,5147672,294.36,292.54,Clay,4
312,CT34-2,487752,5147672,292.54,292.5,Sand/Silt/Till2,5
313,CT34-2,487752,5147672,292.5,290.85,Bedrock,7
314,CT43-1,487740,5147930,294.66,294.6,Organics,1
315,CT43-1,487740,5147930,294.6,293.78,Sand/Silt/Till1,3
316,CT43-1,487740,5147930,293.78,273.17,Bedrock,7
317,CT56-4,487758,5148140,288.9,287.79,Sand/Silt/Till1,3
318,CT58-4,487938,5148864,289.35,286.53,Sand/Silt/Till1,3