Borehole,X,Y,Z
NT-MW20-8,487379.258,5147487.331,298.7
NT-MW21-10,487396.729,5147463.826,297.29
NT-MW22-9,487367.603,5147577.135,297.68
NT-MW23-10,487390.523,5147661.184,297.13
NT-MW23-3,487391.089,5147658.747,297.13
NT-MW-24-9,487608.337,5147759.903,297.25
NT-MW25-10,487765.922,5147894.381,294.35
NT-MW26-15,488177.439,5148285.734,289.14
NT-MW26-8,488179.84,5148285.744,289.23
NT-MW27-12,488148.115,5148281.634,288.77
NT-MW27-6,488148.187,5148281.607,288.77
NT-MW28-10,488872.02,5148599.114,304.5
NT-MW29-10,488661.235,5148391.267,298.26
NT-MW30-7,487302.524,5147438.199,297.42
NT-MW31-21,487346.672,5147543.586,298.21
NT-MW31-3,487345.88,5147543.336,298.18
NT-TW1,487376.583,5147501.536,299.64
NT-TW2,487357.429,5147573.882,298.33
NT-TW3,488152.922,5148269.793,289.29
NT-TW4,488870.286,5148617.201,304.36
NT-TW5,488674.623,5148390.452,298.31
NS14-01 BC/BR,487389,5147480,298.46
NS14-02 BC/BR,487365,5147596,297.82
NN-MW7-4,489030.55,5149000.63,302.73
NN-MW7-8,489030.56,5149004.06,302.68
NN-MW7-25,489030.43,5149002.14,302.72
NN-MW8-2,489388.31,5149244.93,303.98
NN-MW8-24,489383.49,5149248.45,304.23
NN-MW8-36,489383.04,5149246.46,304.12
CN-MW20A-4,485409.14,5147100.31,302.7
CN-MW22-6,485590.15,5147057.68,301
CN-MW23-6,485692.43,5146984.28,302.58
CN-MW24-5,485889.25,5146903.31,303.45
CN-MW26-4,485979.51,5146815.94,302.69
CN-MW27-6,485224.63,5146799.89,300.53
CN-MW28-6,485307.64,5146881.58,299.67
CN-MW29-4,485530.16,5146924.33,301.19
NT-BH01,488842,5148590,308
NT-BH02,488864,5148612,312
NT-BH03,488897,5148661,312
NT-BH04,488909,5148697,313
NT-BH05,488930,5148741,312
NT-BH07,488303,5148165,293
NT-MW40,488836,5148598,311
NT-MW41,488873,5148691,304
NT-MW42,488051.975,5148199.941,301
NT-MW43,487999.464,5148166.71,293
NT-MW1-2,487460.48,5147044.74,297.58
NT-MW1-32,487461.61,5147049.98,298.18
NT-MW1-43,489170.55,5148715.79,298
NT-MW2-3,487488.35,5147162.5,298.09
NT-MW2-17,487483.9,5147160.4,298.32
NT-MW2-47,487483.2,5147162.8,298.03
NT-MW3-5,487628.38,5147212.6,299.13
NT-MW3-9,487629.03,5147217.82,299.01
NT-MW3-18,487628.79,5147215.86,299.06
NT-MW4-5,487632.29,5147306.39,297.86
NT-MW4-9,487630.57,5147309.73,297.83
NT-MW4-24,487631.46,5147318.22,298.1
NT-MW4-44,487631.48,5147316.01,298.08
NT-MW5-2,487660.37,5147385.19,297.54
NT-MW5-24,487659.86,5147392.5,298.01
NT-MW5-37,487657.7,5147391.69,298.01
NT-MW6-2,487863.56,5147490.6,297.85
NT-MW6-8,487861.4,5147491.49,297.85
NT-MW6-26,487861.53,5147489.05,297.83
NT-MW7-4,487926.77,5147735.92,295.87
NT-MW7-7,487928.27,5147732.76,295.95
NT-MW7-14,487930.34,5147733.9,296.04
NT-MW8-3,488093.09,5148220.45,292.26
NT-MW8-10,488086.64,5148218.96,292.33
NT-MW8-44,488095.74,5148221.09,292.4
NT-MW9-8,488205.17,5148247.77,289.17
NT-MW9-14,488207.33,5148248.41,289.26
NT-MW9-26,488209.71,5148246.97,289.33
NT-MW10-3,488385.21,5148386.8,295.12
NT-MW10-11,488385.21,5148386.8,295.2
NT-MW10-45,488388.73,5148388.06,295.22
NT-MW11-13,488690.79,5148541.05,298.46
NT-MW11-23,488691.33,514545.72,298.65
NT-MW11-43,488692.26,5148543.92,298.52
NT-MW12-2,488914.06,5148643.28,304.59
NT-MW12-10,488913.11,5148640.3,304.56
NT-MW12-46,488917.07,5148642.54,304.65
NT-MW13-4,489019.49,5148752.86,303.51
NT-MW13-13,489022.3,5148756.11,303.53
NT-MW13-22,489022.89,5148753.86,303.5
NT-MW14-6,489166.7,5148716.3,307.33
NT-MW14-15,489170.38,5148718.58,307.24
NT-MW14-36,489170.55,5148715.79,307.36
NT-MW15-5,489312.96,5148655.74,309.66
NT-MW15-8,489315.92,5148654.62,309.55
NT-MW15-41,489312.6,5148652.59,309.7
NM-S-5,490304,5148625,308.6
NM-S-70(A&B),490301,5148622,308.6
BH-DAM1-01-19,488915.3,5148641,304.57
BH-DAM1-02-19,488834.4,5148596.4,299.6
DH-DAM1-03-19,488675.5,5148497.6,297.4
BH-DAM2-01-19,488673.2,5148381.6,298.44
BH-DAM2-02-19,488566,5148200.9,297.9
BH-DAM3-01-19,488321.4,5148147,294.64
BH-DAM3-02-19,488260.2,5148145.3,293.65
BH-DAM3-03-19,488171.7,5148160.6,292.47
BH-DAM3-04-19,488103.4,5148115.6,292.15
BH-DAM3-05-19,488020.3,5148058,297.19
BH-DAM8-01-19,487612.5,5147145.4,299.6
BH-DAM8-02-19,487654.3,5147230.2,298.65
CT32-1,488264,5144710,293.72
CT32-2,488238.657,5148184.27,290
CT33-1A,488654,5148108,280.25
CT33-2-1,488647,5148106,297.36
CT33-2-2,488556,5148056,295.99
CT34-1(A&B),487754,5147658,258.91
CT34-2,487752,5147672,294.36
CT43-1,487740,5147930,294.66
CT56-4,487758,5148140,288.9
CT58-4,487938,5148864,289.35